split,stem,brightness,object_count,min_object_area,mean_object_area,min_object_contrast,mean_object_contrast,width,height
train,00001,42.668739318847656,9,1574.981439979521,2768.8896000091017,0.006771897030119849,0.353324020091398,640,512
train,00002,37.4860725402832,6,1248.0,1634.8318826496,0.2161329184180677,0.45967994841096943,640,512
train,00003,19.300670623779297,7,560.0051200000007,2013.5826743061941,0.07854581266844816,0.5510910860516832,640,512
train,00004,46.54314041137695,11,1427.9946239999979,2183.736709820043,0.00490734695905713,0.23129302009564892,640,512
train,00005,59.82636642456055,8,1259.9961600000004,1941.8678799974398,0.002757275599854659,0.3935666019496077,640,512
train,00006,66.3416976928711,6,1274.9887360204798,2004.6681813265077,0.02345003563342137,0.2394951080614186,640,512
train,00007,6.322308540344238,11,1104.003071999999,1393.270784,0.010862178049552668,0.4377153684415412,640,512
train,00008,4.908780097961426,10,989.9987199590411,1310.4056064081922,0.06447038760999353,0.6145454837794267,640,512
train,00009,2.806173801422119,1,1349.996544000004,1349.996544000004,1.9303022943914225,1.9303022943914225,640,512
train,00010,2.333233594894409,0,0.0,0.0,0.0,0.0,640,512
train,00011,2.158407688140869,1,1559.992319999999,1559.992319999999,1.5727592888164421,1.5727592888164421,640,512
train,00012,2.9856598377227783,1,1565.9888639999992,1565.9888639999992,1.3716462849249142,1.3716462849249142,640,512
train,00013,3.9909942150115967,3,1399.982079999998,1489.9829333469843,0.3523833040318551,0.6564833414612515,640,512
train,00014,2.9850525856018066,4,1368.0076799999983,1499.00544,0.06671160612575469,0.6729589126594306,640,512
train,00015,3.1546173095703125,6,1223.9953920000037,1508.6655573196797,0.09882270585151776,1.1957674429709453,640,512
train,00016,4.6672210693359375,2,1637.9836160409602,2151.483168030719,0.7922599104198857,1.0379798062734693,640,512
train,00017,3.57635498046875,0,0.0,0.0,0.0,0.0,640,512
train,00018,9.44714641571045,12,1150.0032000000006,1390.9181279982934,0.0023492677611635696,0.5201983292352038,640,512
train,00019,5.738012790679932,11,1029.0143359795204,1319.1870778274906,0.2350418091675467,0.8676263108533743,640,512
train,00020,7.390130519866943,3,1197.0168959795203,1450.6780586803197,0.038090761172962166,0.36536554871324417,640,512
train,00021,37.0318717956543,11,1092.0099839999984,1668.4572218014255,0.05627336913185861,0.47011394843460397,640,512
train,00022,7.308056831359863,10,940.001279999999,1732.4991680020478,0.016917001875764226,0.4313179073467893,640,512
train,00023,6.556805610656738,8,1025.985151959041,1527.2490559897587,0.030344287441150166,0.8926972051501065,640,512
train,00024,5.943307399749756,10,1310.9802880204813,1682.6964799979528,0.030956466745671356,0.46673150522775597,640,512
train,00025,4.398608207702637,4,1126.9828480204872,1575.2392799846405,0.21208449133566887,1.102503395606913,640,512
train,00026,42.43168258666992,16,679.9912959999988,2462.18870800384,0.05898179506694301,0.28579115605102334,640,512
train,00027,41.705772399902344,15,1265.010880020477,2572.870788273494,0.016874354757708442,0.21002394976642524,640,512
train,00028,3.8915557861328125,1,2051.996927918078,2051.996927918078,0.0035361204342943746,0.0035361204342943746,640,512
train,00029,8.148272514343262,3,1311.0110080204772,1690.6655146530109,0.21310520919329745,0.44718618927545356,640,512
train,00030,3.2827391624450684,1,1971.9956479999994,1971.9956479999994,0.5466576436654196,0.5466576436654196,640,512
train,00031,3.443380832672119,4,1218.9874559385582,1354.7334239846389,0.7334543321660815,1.2840414145794954,640,512
train,00032,2.197134494781494,2,1356.9767040614445,1380.4900160307222,1.4109778660442032,2.0231332613096575,640,512
train,00033,2.5248260498046875,1,1379.98668791808,1379.98668791808,1.8962125702593635,1.8962125702593635,640,512
train,00034,2.8696563243865967,5,1188.0028160000036,1344.1972608040974,0.07297569474224411,1.2026264179907304,640,512
train,00035,6.024325370788574,6,1019.9961600000006,1543.9940693196804,0.7330614962438116,1.3560453478520742,640,512
train,00036,5.411041259765625,4,1367.9984640000043,1496.0062400102408,1.0151967554628705,1.2790188907527158,640,512
train,00037,4.2407379150390625,7,847.99488,1435.4285348688459,0.2088282630144877,1.1243566731908172,640,512
train,00038,2.314505100250244,1,1402.9965439795167,1402.9965439795167,1.8625780980437372,1.8625780980437372,640,512
train,00039,2.9940247535705566,3,1334.0037119999988,1489.3344853196793,0.924773110240738,1.345125360667959,640,512
train,00040,5.331320285797119,7,930.9966719385612,1460.4315885567999,0.592751576118813,1.3408561530574237,640,512
